,,,,Core Sprint Review Dashboard link
https://dropbox-kms.atlassian.net/l/cp/S2b4xCfe
Group & Squads,Engineering,Jira Sprint Report Link,Sprint IDs,Total Q2 Capacity for the Group (HC) - Actual Brains in Seats,"Total Q2 Capacity for the Group in Hours
- (6 sprints in a quarter * ( 6 hrs of work per day*10 days)* No. of Engineers*0.9)",Block Capacity in Hours - Total Q2 Capacity for the Group /2,"Capacity at the Start of the Sprint
(In hours) - [Column E*0.9*60]","Issues Completed in the Sprint
(In hours)","Issues Not Completed 
(In hours)","Issues Removed From Sprint
(In hours)",Initial Scope at the start of the sprint (Burnup chart),Final Scope from Burnup chart,Change in Scope,"% of Completed Scope
(Issues Completed in the Sprint/Final Scope from Burnup chart)",[NEW] Sprint Volatility,"Capacity Usage %
(Issues Completed/ Capacity at the start of the sprint)", % of Hours Completed vs initially Committed,Sprint Retrospection doc link,"- Briefly state what went well, key learnings & what are you planning to change.
- Share any additional observations or explanations related to the metrics.
"," - Was the Sprint Goal achieved?Yes/No (partial is not a valid option). Add additional context if the answer is a 'No':
- What did we ship?: List the deliverables, features, or improvements that were actually completed during this sprint.
- Did we achieve the impact we were looking for? Describe the outcomes or changes we observed and how they compare to the impact we anticipated.",HC related Comments,Jira Board Link
,,,,226.15
Core Experience,Pravi Garg (GL),,,58.25,,,,,,,,,,,,,,,"- The most significant insights from the sprint (Filled by GLs)
* Chat Bug bash was automated
* Communication push is required
* B&N team needs a process change
* Logging requirements came in very late
* Team needs a stabilization sprint
* Quarterly planning is at odds with customer releases

- Any emerging trend, risk, or systemic issue requiring attention
* "
Desktop Experience,Aisha Ferrazares,Sprint 11 Report,58419,13.5,4374,2187,729,764,12,99,690,788,98,96.95%,14.35%,104.80%,110.72%,https://dropbox.atlassian.net/wiki/spaces/DEX/pages/3819014033/Sprint+Retro+-+2026+SP11,"What went well
- [Bridge V2] Early releases of V2_LIMITED (Chat-only) and 30 user derisking release went out successfully, helping build higher confidence in our upcoming 6/23 launch. The majority of feature work completed in SP11, leaving most of SP12 for bug fixing, polish, and other emerging issues.
- [Team Adaptability] The team snapped back to our typical delivery, capacity utilization, and volatility metrics the first full sprint after our recent reorg.
- [Bridge v2 Web] We were able to support resourcing of web Bridge v2 work and help keep that on track for DPR by lending 1 engineer to support web connector linking for SP11 and SP12.
- [AI Enablement] The team is seeing significant productivity gains leveraging Codex, particularly with the addition of automations and Atlassian plugins.

Learnings
- [Collaboration] The team needs to more proactively coordinate with web teams and horizontal PM owners upfront. Both our product and foundational efforts required reconciliation that resulted in extra overhead.
- [Escalation] A mid-sprint legal flag caused thrash as we turned off Dash Suggestions before realizing that there was a misunderstanding. In the future, the team should escalate more quickly to get issues like these resolved more quickly and decisively.

Share any additional observations or explanations related to the metrics
- Metrics looked healthy across the board. No major concerns.","Was the Sprint Goal achieved? Yes/No (partial is not a valid option)
Yes

What did we ship?
- [Dash Answers, C2.2, CDX-960] Dash Answers successfully released to internal users, derisking the use of mirage services directly from MEV. While this feature is not expected to go out with our upcoming Design Partner release, this marks a major foundational milestone that will support our ability to pull richer search and chat directly into the Tray.
- [Foreground App, C2.2, DBX-5768] Desktop foreground surface now includes a full webview Home and UEP Search and Chat. Polish has brought us closer to DPR scope with largely only bug fixing remaining.
- [Quick Access, C2.2, DBX-5767] Connector results, visual matches, AI disclaimers, and Dash Answers integration all landed in SP11. Most restyling for removing the sidebar is complete with internal release expected in the first week of SP12.
- [Reliability & Quality, CDX-983] Continued investment in automated test quality, manual test cases in TestRail for DPR, and concerted effort in reducing quarantined tests.
- [Legacy Tray Deprecation, CDX-1152] We’ve stopped instantiation of the Legacy Tray, which is the last blocker for code deletion. Forced migration to reTray is on track to reach 100% on 6/15.

Did we achieve the impact we were looking for?
- Successful releases of V2_LIMITED (chat-only) and initial external (30 user) de-risking milestones.
- The team remains on track for our 6/12 freeze and 6/23 DPR launch.","1 eng on leave through July
3 eng lost or transfered in the reorg and 3 eng moved over from Dash (flat overall HC)",https://dropbox.atlassian.net/jira/software/c/projects/CDX/boards/5285/reports/sprint-retrospective?sprint=58419,CDX
Engineering Mobile,Phil Scuderi,Sprint 11 Report,56101,17.5,5670,2835,945,1171.5,114,127,1104,1298,194,90.25%,11.50%,123.97%,106.11%,https://dropbox.atlassian.net/wiki/spaces/CMX/pages/3852763168/CMX+Sprint+11+Retro+Summary,"What went well
- Bridge v2 remains on track for the 6/18 branch cut and 6/30 DPR release. UEP is the only significant known risk, but it is currently tracking slightly ahead of the 6/30 release plan.
- The team completed 161 / 174 tracked issues, with most work tied to Bridge v2: UEP, Tabbed Home, Up Next, Files/Library, Stacks-in-DBApp, Version History/Restore, Cowork, Bottom Bar, and File Actions. The team also made progress on MTI, Aluminium compatibility, and mobile quality/operational work including deep-link logging, FCM alerting/AutoSEV, permissions, crash fixes, and accessibility/media fixes.
- Early signals from the new pod model are positive. Completion rebounded after last sprint’s transition, and pod retros indicate that smaller context-rich groups are improving local coordination and reducing large-meeting overhead.

Learnings
- UEP remains the long tail for DPR, but the current execution pattern is positive. The work is still the biggest body of the remaining Bridge v2 scope, so we should keep tight visibility through the branch cut even though it is tracking slightly ahead of the 6/30 release plan.
- MTI ticket volatility remains expected. Some MTI work carried over because implementation surfaced prerequisite API/model, account-info, and paired-user cleanup work. This is consistent with last sprint’s learning: ticket-level sequencing may change as dependencies are uncovered, but the overall MTI timeline has not changed.
- The pod model is showing positive early signals. Retros indicate that smaller context-rich groups are improving local coordination and reducing large-meeting overhead. Next operational priorities are improving sprint/project tracking and working with Product on the Q3 roadmap so teams have better visibility into upcoming priorities.

Share any additional observations or explanations related to the metrics
- Sprint 11 completed 161 / 174 tracked issues. Carryover was concentrated in dependency-heavy or follow-up areas: MTI, UFL follow-up, keyboard/focus management, and bug-bash compatibility work.
- MTI carryover reflects dependency discovery and changed sequencing, not a change to the overall timeline.","Was the Sprint Goal achieved?
Yes. Bridge v2 mobile remains on track for the planned 6/18 branch cut and 6/30 DPR release. UEP is the only significant known risk and is still the long tail, but it is currently tracking slightly ahead of the 6/30 release plan.

What did we ship?
- Bridge v2: UEP implementation progress on iOS and Android, Tabbed Home polish, Up Next cards/actions, Files/Library and UFL progress, Stacks-in-DBApp integration, Cowork updates, Version History/Restore work, File Action improvements, and Bottom Bar updates.
- Other mobile work: MTI progress, Aluminium compatibility work, deep-link logging, FCM alerting/AutoSEV, permission-flow work, crash fixes, memory leak fixes, accessibility/media fixes, and cleanup/deprecation work.

Did we achieve the impact we were looking for?
Yes. Sprint 11 reduced risk for the 6/18 branch cut and kept Bridge v2 mobile on track for the 6/30 DPR release. UEP remains the largest remaining body of work and the only significant known risk, but it is tracking slightly ahead of plan. The sprint also provided early evidence that the new pod model is improving local coordination without slowing delivery. The next step is improving the instrumentation and planning around the model — sprint health, milestone tracking, lightweight risk reporting, and Q3 roadmap alignment with Product.",,https://dropbox.atlassian.net/jira/software/c/projects/MFIFA/boards/2353/reports/sprint-retrospective?sprint=56101,MFIFA
Bridge Web experience,Vaibhav Khandelwal,Sprint 11 Report,63907,14.5,4698,2349,783,1109,47,132,760,1192,432,93.04%,17.37%,141.63%,145.92%,https://dropbox.atlassian.net/wiki/spaces/bfd/pages/3828285855/2026-06-08+Bridge+Web+Experience+Retro,"What went well
- [Search] Fast pivot from FSS search to Dash search to the Bridge V2 redesign culminated in the internal release of the redesigned search page. SERP polish, grid/list layout fixes, filter behavior, file/folder metadata fixes, and hydration latency work all moved quickly.
- [UEP+Chat] The team completed 33 UEP/Chat polish issues ahead of the DPR cut, including the disclaimer modal, expanded UEP focus and visual polish, typeahead fixes, recents preview behavior, and Background/Raised surface updates.
- Chat bug bash was automated and completed ahead of schedule. Broad team participation helped find and report issues, and the automation pattern is now repeatable for future release hardening.
- Connectors workstream went from limited definition to clear progress in one sprint, with Connect Your Apps FTUX, connector management in Bridge V2, feature gating, and the UEP connector upsell banner all landing.

Learnings
- The sprint survey hit a 7-month low on “I am working at a sustainable pace” at 3.38. The team is accumulating technical debt while still working toward aggressive DPR timelines. We are planning to improve intake for foundation work, create clearer paths for tech-debt tickets, and make this work more visible during planning.
- Timelines have been pulled in after estimation, which compresses scope into a smaller execution window. We need tighter estimation discipline and more explicit tradeoff conversations when dates move.
- We're doing throwaway work because product, design, and DS work are happening in parellel with engineering. Several workstreams resolved requirements mid-flight, which helped us make progress but contributed to scope churn.

Share any additional observations or explanations related to the metrics
- The team delivered strongly, but the metrics show we did so by absorbing significant scope growth and operating above planned capacity.
- Scope growth was driven by DPR-readiness pull-ins across UEP, SERP, Connectors, and Onboarding as requirements firmed up mid-sprint:","Was the Sprint Goal achieved? Yes/No (partial is not a valid option)
- Yes. Bridge V2 Web reached internal release for the redesigned search page and stayed on track for DPR readiness across UEP Chat, SERP, Connectors, and Onboarding.

What did we ship?
- Search: Internal release of the redesigned search page, including SERP grid/list layout adjustments, filter modal behavior, favorite-icon positioning, folder/file type fixes, FSS metadata hydration improvements, and DCS/FSS comparison instrumentation.
- UEP: Disclaimer modal and related research, Background/Raised surface treatment, expanded UEP focus and visual polish, inset focus rings, IconButton sizing, collapsed search-bar polish, typeahead fixes, and recents preview-vs-download behavior fixes.
- Chat: New chat empty state, “Ask Dash” enabled for non-FSS files, message-send logic update to avoid loading-state frame, video/audio summarize hang fix, and overall styling brush-up. Chat bug bash was also automated end-to-end.
- Connector Management: Apps tab listing of Dash connectors, individual connector connect flow, foundational tech spike, and feature gating.
- Onboarding and Activation: Connect Your Apps FTUX modals, privacy view, connector-specific eligibility logic, OAPulsarCampaign support in App Shell, and connector upsell banner in UEP.

Did we achieve the impact we were looking for?
- It kept us roughly on track for DPR feature complete timelines.",1 eng last day is 6/12 so we'll be down one HC.,https://dropbox.atlassian.net/jira/software/c/projects/BFD/boards/2637/reports/sprint-retrospective?sprint=63907,BFD
Browse & Navigate Web experience,Gennadiy Civil,Sprint 11 Report,64747,12.75,4131,2065.5,688.5,945,57,96,726,1002,276,94.31%,13.22%,137.25%,130.17%,https://dropbox.atlassian.net/wiki/spaces/CBN/whiteboard/3819013877?atl_f=PAGETREE,"What went well
* Bridge V2 execution reached a working/demoable product stage instead of staying hidden until late in the cycle.
* Feedback-channel responsiveness improved, and the Home squad had more space during the sprint.
* AI tools continued to help development workflows, while also creating new expectations around code-review hygiene.

Learnings
* On-call and KTLO/MMR capacity need stronger protection; the team was doing less than 20% KTLO work compared with a previously approved 40% combined KTLO/foundational allocation.
* Bridge V2 needs proactive push communication and a maintained source of truth. The team called out too many channels, too many docs/DMs, unclear PM/design decision ownership, and engineers having to pull together dates/status from scattered sources.
* Sprint intake needs a higher readiness bar: if DPR or cross-workstream requirements are not ready before sprint planning, they should either stay out of the sprint or enter with explicit capacity tradeoffs.
* AI-generated or AI-assisted PRs need stronger owner self-review before broader review, including a plan/summary for large or complex PRs.

Share any additional observations or explanations related to the metrics
* The sprint started with 726h of planned scope and ended with 1002h of final scope: a 276h increase.
* The team completed 137.25% of planned starting capacity.
* Final/completed workload was far above planned starting capacity.
* The team is feeling the strain from sustained over-capacity execution, on-call load, and Bridge V2 coordination overhead.:
ACTION TAKEN: Proposal to change Scrum process to Kanban, currently under review.
TL;DR: 
We should pilot Kanban because Bridge V2 execution is not stable enough for sprint planning to act as a real commitment mechanism. Product, UX, customer/DPR, and partner-team feedback can still change direction mid-sprint, which means the plan often has to be re-litigated after work starts. Adding capacity does not fix that unless we reserve a large bucket for unknown work; at that point, we are really managing flow, readiness, WIP, and tradeoffs, not running a committed sprint.","Was the Sprint Goal achieved?Yes/No (partial is not a valid option). Add additional context if the answer is a 'No':
* Yes. The Sprint Goal was achieved for the SP11 stage: Bridge V2 Web moved toward code-ready / bug-bash / initial external design partner readiness across Library, Previews, Home, App Shell, Recommendation Engine, MTI, and KTLO/MMR.

What did we ship?
* DBX-3181 — C3.2.2 App IA / Chrome / Home UI/UX
    - Goal C: Home — Team-space cards, Catch Me Up work, sparse/zero states, responsive Up Next patterns, home-page performance, and Bridge V2 feedback fixes.
    - Goal D: App Shell — Account-menu updates, quota bar, avatar/photo update support, team invite movement, new starred-section backend/frontend work, resizable left nav, account-page spike, and campaign audit work.
    - Goal E: Recommendation Engine — DPR support for unmounted shared content, Dash connector content, shared-content API/proto follow-through, ranking/notification work, and backend open-question de-risking.

* DBX-3182 — C3.2.3 Browse / Retrieval UI/UX
    - Goal A: Library — DPR bug bash and Library fast follows across context-menu/file actions, folder settings actions, file activity sidebar, breadcrumbs, deleted-files support, organize submenu actions, content-tile fixes, TTVC logging, and bug-bash fixes.

* DBX-4133 — C3.2.4 Previews UI/UX
    - Goal B: Previews — Helix previews polish across fullscreen controls/overlay, URL compatibility, editor ports, responsive breadcrumbs, gated SCL/FI support, and Bridge V2 preview alignment.

* DBX-3834 — C6 Non-Strategy / KTLO / MMR
    - Goal F: MTI — Manual testing for MTI key areas.
    - Goal G: KTLO/MMR — MMR AI follow-ups, metric/report updates, custom thresholds, route availability/latency investigations, code coverage, SUSI/AutoSEV alert review, and previews MMR cleanup.

Did we achieve the impact we were looking for?
* Yes for the SP11 stage. The team advanced Bridge V2 Web toward code-ready / bug-bash / initial DPR readiness across the main product surfaces and supporting KTLO/MMR work.
* The sprint also surfaced follow-up operating needs around sprint intake readiness, source-of-truth ownership, on-call/KTLO protection, and review hygiene for AI-assisted work.",,https://dropbox.atlassian.net/jira/software/c/projects/WEBXP/boards/6848/reports/sprint-retrospective?sprint=64747,WEBXP
Core Growth,Brian Y. (GL),,,32.2,,,,,,,,,,,,,,,"Top Two Most Significant Insights

* 


Top Two Emerging Trends, Risks, or Concerns

* "
Engineering Growth Lifecycle,Matthew Compton,Sprint 11 Report,58283,13,4212,2106,702,668,48,18,747,734,13,91.01%,2.41%,95.16%,89.42%,,"What went well
- 

Learnings
- 

Share any additional observations or explanations related to the metrics
- ","Was the Sprint Goal achieved? Yes/No (partial is not a valid option)
- Yes

What did we ship?
- 
Did we achieve the impact we were looking for?
- ","What are the key items coming up in the next sprint?
- C4.4: MCP foundation-building (Gemini, test intelligence plugin, E2E testing)
- C4.1: OQ experiments (Personalized Messaging, file restore blocking)
- C4.4: Sign Cross-sell
- Foundational: Bazel optimization, component cleanup",https://dropbox.atlassian.net/jira/software/c/projects/LIFE/boards/5267/reports/sprint-retrospective?sprint=58283,LIFE
Engineering Churn & International Growth Web,Karol Harabasz,Sprint 11 Report,63532,6.4,2073.6,1036.8,345.6,365,3,0,368,368,0,99.18%,0.00%,105.61%,99.18%,,"What went well
- 

Learnings
- 

Share any additional observations or explanations related to the metrics
- ","Was the Sprint Goal achieved? Yes/No (partial is not a valid option)
- Yes

What did we ship?
- 
Did we achieve the impact we were looking for?
- ",,https://dropbox.atlassian.net/jira/software/c/projects/IGROW/boards/2392/reports/sprint-retrospective?sprint=63532,IGROW
Engineering Churn & International Growth Mobile,Karol Harabasz,Sprint 11 Report,63566,4.3,1393.2,696.6,232.2,242,0,0,236,242,6,100.00%,0.00%,104.22%,102.54%,,"What went well
- 

Learnings
- 

Share any additional observations or explanations related to the metrics
- ","Was the Sprint Goal achieved? Yes/No (partial is not a valid option)
- Yes

What did we ship?
- 
Did we achieve the impact we were looking for?
- ",,https://dropbox.atlassian.net/jira/software/c/projects/IGROW/boards/5321/reports/sprint-retrospective?sprint=63566
